Date,Pollster,Poll Type,Fidesz,Challenger,DK,MKKP,MH,TISZA,Other,Don't Know,alpha
2/10/2022,ZRI,pártválasztók,38,36,,2,3,,1,20,1.25
2/10/2022,ZRI,decided,49,46,,2,3,,0,0,1
2/10/2022,ZRI,decided,50,44,,2,4,,,0,1
2/9/2022,IDEA,raw,37,32,,3,4,,0,24,1.315789474
2/9/2022,IDEA,pártválasztók,38,34,,2,5,,1,20,1.25
2/9/2022,IDEA,decided,49,44,,3,4,,0,0,1
1/26/2022,Társadalomkutató,decided,51,43,,3,3,,0,0,1
1/24/2022,Republikon,raw,41,40,,3,2,,0,14,1.162790698
1/24/2022,Republikon,decided,47,47,,3,3,,0,0,1
1/19/2022,Alapjogokért Központ,decided,49,44,,3,4,,0,0,1
1/31/2022,Publicus,raw,33,32,,1,2,,1,30,1.449275362
1/14/2022,e-benchmark,raw,43,22,,5,3,,3,25,1.315789474
1/14/2022,IDEA,raw,37,32,,3,3,,0,25,1.333333333
1/14/2022,IDEA,decided,48,44,,4,4,,0,0,1
1/5/2022,Néz?pont,decided,50,43,,3,3,,1,0,1
12/23/2021,Real-PR 93,raw,43,33,,,,,7,17,1.204819277
12/23/2021,Real-PR 93,decided,54,45,,,,,1,0,1
12/15/2021,Néz?pont,decided,55,43,,,,,2,0,1
12/15/2021,e-benchmark,raw,41,18,,4,1,,2,34,1.515151515
12/15/2021,e-benchmark,raw,43,36,,,,,,21,1.265822785
12/14/2021,Republikon,raw,33,36,,2,3,,2,24,1.315789474
12/14/2021,Republikon,decided,43,48,,3,4,,2,0,1
12/11/2021,Irányt?,raw,40,36,,6,5,,,14,1.149425287
12/11/2021,Irányt?,pártválasztók,46,32,,4,5,,0,12,1.149425287
12/13/2021,ZRI,raw,37,37,,1,2,,1,22,1.282051282
12/13/2021,ZRI,raw,38,39,,,,,3,20,1.25
12/13/2021,ZRI,decided,48,49,,,,,3,0,1
12/13/2021,ZRI,decided,47,47,,2,3,,1,0,1
12/13/2021,IDEA,raw,35,33,,3,3,,0,26,1.351351351
12/13/2021,IDEA,raw,38,38,,3,4,,1,17,1.19047619
12/13/2021,IDEA,decided,47,46,,3,4,,0,0,1
12/13/2021,IDEA,decided,47,45,,3,4,,1,0,1
12/7/2021,Medián,raw,39,34,,7,7,,,13,1.149425287
12/7/2021,Medián,pártválasztók,45,40,,8,7,,,0,1
12/7/2021,Medián,decided,44,45,,6,5,,,0,1
